startpoint,endpoint,type
_10775_,_10824_,b
_10775_,_10848_,b
_10775_,_10857_,b
_10775_,_10865_,b
_10775_,_10881_,b
_10775_,_10812_,b
_10775_,_10822_,b
_10775_,_10830_,b
_10775_,_10838_,b
_10775_,_10846_,b
_10775_,_10855_,b
_10775_,_10863_,b
_10775_,_10879_,b
_10775_,_10769_,b
_10775_,_10768_,b
_10775_,_10735_,b
_10775_,_10864_,b
_10775_,_10823_,b
_10775_,_10828_,b
_10775_,_10820_,b
_10775_,_10861_,b
_10775_,_10836_,b
_10775_,_10810_,b
_10775_,_10844_,b
_10775_,_10853_,b
_10775_,_10877_,b
_10775_,_10829_,b
_10775_,_10821_,b
_10775_,_10862_,b
_10775_,_10837_,b
_10775_,_10811_,b
_10775_,_10854_,b
_10775_,_10878_,b
_10775_,_10839_,b
_10775_,_10831_,b
_10775_,_10813_,b
_10775_,_10847_,b
_10775_,_10856_,b
_10775_,_10880_,b
_10775_,_10845_,b
_10775_,_10767_,b
_10775_,_10734_,b
_10775_,_10766_,b
_10775_,_10733_,b
_10775_,_10756_,b
_10775_,_10755_,b
_10775_,_10765_,b
_10775_,_10764_,b
_10775_,_10732_,b
_10775_,_10731_,b
_10775_,_10639_,b
_10775_,_10763_,b
_10775_,_10730_,b
_10775_,_10762_,b
_10775_,_10643_,b
_10775_,_10729_,b
_10775_,_10659_,b
_10775_,_10859_,b
_10775_,_10818_,b
_10775_,_10827_,b
_10775_,_10819_,b
_10775_,_10835_,b
_10775_,_10860_,b
_10775_,_10753_,b
_10775_,_10754_,b
_10775_,_10637_,b
_10775_,_10642_,b
_10775_,_10655_,b
_10775_,_10809_,b
_10775_,_10641_,b
_10775_,_10826_,b
_10775_,_10834_,b
_10775_,_10657_,b
_10775_,_10843_,b
_10775_,_10852_,b
_10775_,_10876_,b
_10775_,_10808_,b
_10775_,_10842_,b
_10775_,_10851_,b
_10775_,_10875_,b
_10775_,_10653_,b
_10775_,_10651_,b
_10775_,_10650_,b
_10775_,_10644_,b
_10775_,_10660_,b
_10775_,_10652_,b
_10775_,_10638_,b
_10775_,_10640_,b
_10775_,_10647_,b
_10775_,_10649_,b
_10775_,_10648_,b
_10775_,_10656_,b
_10775_,_10654_,b
_10775_,_10658_,b
_10775_,_10646_,b
_10775_,_10645_,b
_10775_,_10746_,b
_10775_,_10751_,b
_10775_,_10760_,b
_10775_,_10749_,b
_10775_,_10752_,b
_10775_,_10748_,b
_10775_,_10727_,b
_10775_,_10750_,b
_10775_,_10608_,b
_10775_,_10612_,b
_10775_,_10614_,b
_10775_,_10609_,b
_10775_,_10593_,b
_10775_,_10605_,b
_10775_,_10602_,b
_10775_,_10613_,b
_10775_,_10603_,b
_10775_,_10675_,b
_10775_,_10665_,b
_10775_,_10668_,b
_10775_,_10669_,b
_10775_,_10671_,b
_10775_,_10619_,b
_10775_,_10747_,b
_10775_,_10661_,b
_10775_,_10664_,b
_10775_,_10673_,b
_10775_,_10666_,b
_10775_,_10670_,b
_10775_,_10625_,b
_10775_,_10631_,b
_10775_,_10674_,b
_10775_,_10628_,b
_10775_,_10662_,b
_10775_,_10663_,b
_10775_,_10626_,b
_10775_,_10667_,b
_10775_,_10606_,b
_10775_,_10604_,b
_10775_,_10630_,b
_10775_,_10627_,b
_10775_,_10629_,b
_10775_,_10624_,b
_10775_,_10618_,b
_10775_,_10672_,b
_10775_,_10676_,b
_10775_,_10607_,b
_10775_,_10601_,b
_10775_,_10725_,b
_10775_,_10745_,b
_10775_,_10758_,b
_10775_,_10850_,b
_10775_,_10759_,b
_10775_,_10680_,b
_10775_,_10634_,b
_10775_,_10796_,b
_10775_,_10726_,b
_10775_,_10794_,b
_10775_,_10795_,b
_10775_,_10790_,b
_10775_,_10635_,b
_10775_,_10799_,b
_10775_,_10636_,b
_10775_,_10792_,b
_10775_,_10892_,b
_10775_,_10893_,b
_10775_,_10895_,b
_10775_,_10712_,c
_10775_,_10713_,c
_10775_,_10714_,c
_10775_,_10715_,c
_10775_,_10716_,c
_10775_,_10717_,c
_10775_,_10718_,c
_10775_,_10720_,c
_10775_,_10722_,c
_10775_,_10723_,c
_10775_,_10719_,c
_10775_,_10721_,c
_10775_,_10724_,c
_10775_,_10590_,b
_10775_,_10685_,b
_10775_,_10686_,b
_10775_,_10687_,b
_10775_,_10688_,b
_10775_,_10689_,b
_10775_,_10690_,b
_10775_,_10691_,b
_10775_,_10692_,b
_10775_,_10709_,c
_10775_,_10710_,c
_10775_,_10711_,c
_10775_,_10791_,c
_10775_,_10589_,b
_10775_,_10588_,b
_10775_,_10798_,b
_10775_,_10587_,b
_10891_,_10891_,c
_10891_,_10679_,c
_10919_,_10919_,b
_10935_,_10935_,b
_10890_,_10890_,b
_10874_,_10874_,b
_10807_,_10807_,b
_10903_,_10903_,b
_10911_,_10911_,b
_10927_,_10927_,b
_10806_,_10806_,b
_10873_,_10873_,b
_10889_,_10889_,b
_10902_,_10902_,b
_10910_,_10910_,b
_10918_,_10918_,b
_10926_,_10926_,b
_10934_,_10934_,b
_10916_,_10916_,d
_10932_,_10932_,b
_10887_,_10887_,b
_10871_,_10871_,d
_10804_,_10804_,b
_10900_,_10900_,b
_10908_,_10908_,b
_10924_,_10924_,b
_10805_,_10805_,b
_10872_,_10872_,b
_10888_,_10888_,b
_10901_,_10901_,b
_10909_,_10909_,b
_10917_,_10917_,b
_10925_,_10925_,b
_10933_,_10933_,b
_10803_,_10803_,d
_10899_,_10899_,b
_10907_,_10907_,d
_10915_,_10915_,d
_10931_,_10931_,b
_10870_,_10870_,d
_10886_,_10886_,b
_10740_,_10740_,b
_10772_,_10772_,d
_10773_,_10773_,d
_10914_,_10914_,b
_10930_,_10930_,b
_10885_,_10885_,b
_10922_,_10922_,b
_10869_,_10869_,b
_10802_,_10802_,b
_10898_,_10898_,b
_10906_,_10906_,b
_10800_,_10800_,b
_10896_,_10896_,b
_10920_,_10920_,b
_10923_,_10923_,b
_10739_,_10739_,b
_10912_,_10912_,d
_10928_,_10928_,b
_10883_,_10883_,b
_10867_,_10867_,d
_10738_,_10738_,b
_10913_,_10913_,d
_10929_,_10929_,b
_10801_,_10801_,d
_10884_,_10884_,b
_10905_,_10905_,d
_10868_,_10868_,d
_10897_,_10897_,b
_10771_,_10771_,d
_10770_,_10770_,d
_10866_,_10866_,b
_10825_,_10825_,b
_10815_,_10815_,b
_10833_,_10833_,b
_10841_,_10841_,b
_10849_,_10849_,b
_10858_,_10858_,b
_10882_,_10882_,b
_10904_,_10904_,b
_10736_,_10736_,b
_10921_,_10921_,b
_10737_,_10737_,b
_10840_,_10840_,b
_10832_,_10832_,b
_10814_,_10814_,b
_10824_,_10824_,b
_10848_,_10848_,b
_10857_,_10857_,b
_10865_,_10865_,b
_10881_,_10881_,b
_10812_,_10812_,b
_10822_,_10822_,b
_10830_,_10830_,b
_10838_,_10838_,b
_10846_,_10846_,b
_10855_,_10855_,b
_10863_,_10863_,b
_10879_,_10879_,b
_10769_,_10769_,d
_10768_,_10768_,d
_10735_,_10735_,b
_10864_,_10864_,b
_10823_,_10823_,b
_10828_,_10828_,d
_10820_,_10820_,b
_10861_,_10861_,d
_10836_,_10836_,b
_10810_,_10810_,b
_10844_,_10844_,b
_10853_,_10853_,b
_10877_,_10877_,b
_10829_,_10829_,d
_10821_,_10821_,b
_10862_,_10862_,d
_10837_,_10837_,b
_10811_,_10811_,b
_10854_,_10854_,b
_10878_,_10878_,b
_10839_,_10839_,b
_10831_,_10831_,b
_10813_,_10813_,b
_10847_,_10847_,b
_10856_,_10856_,b
_10880_,_10880_,b
_10845_,_10845_,b
_10767_,_10767_,d
_10734_,_10734_,b
_10766_,_10766_,d
_10733_,_10733_,b
_10756_,_10756_,b
_10755_,_10755_,b
_10765_,_10765_,b
_10764_,_10764_,b
_10732_,_10732_,b
_10731_,_10731_,b
_10763_,_10763_,b
_10730_,_10730_,b
_10762_,_10762_,b
_10793_,_10679_,b
_10793_,_10683_,b
_10793_,_10677_,b
_10793_,_10706_,b
_10793_,_10698_,b
_10793_,_10682_,b
_10793_,_10697_,b
_10793_,_10793_,c
_10679_,_10615_,c
_10729_,_10729_,b
_10659_,_10659_,c
_10859_,_10859_,b
_10818_,_10818_,b
_10827_,_10827_,b
_10819_,_10819_,d
_10835_,_10835_,b
_10860_,_10860_,b
_10753_,_10753_,b
_10754_,_10754_,b
_10777_,_10728_,b
_10777_,_10761_,b
_10728_,_10728_,b
_10655_,_10655_,c
_10809_,_10809_,b
_10826_,_10826_,b
_10834_,_10834_,b
_10657_,_10657_,c
_10843_,_10843_,b
_10852_,_10852_,b
_10876_,_10876_,b
_10808_,_10808_,b
_10842_,_10842_,b
_10851_,_10851_,b
_10875_,_10875_,b
_10653_,_10653_,c
_10651_,_10651_,c
_10650_,_10650_,c
_10660_,_10660_,c
_10652_,_10652_,c
_10638_,_10699_,b
_10638_,_10700_,b
_10638_,_10695_,b
_10647_,_10647_,c
_10649_,_10649_,c
_10648_,_10648_,c
_10761_,_10761_,d
_10656_,_10656_,c
_10654_,_10654_,c
_10658_,_10658_,c
_10646_,_10646_,c
_10645_,_10645_,c
_10746_,_10746_,b
_10751_,_10751_,b
_10760_,_10760_,b
_10749_,_10749_,b
_10683_,_10683_,b
_10752_,_10752_,b
_10748_,_10748_,b
_10727_,_10727_,b
_10750_,_10750_,b
_10612_,_10612_,c
_10612_,_10603_,d
_10614_,_10614_,c
_10609_,_10609_,b
_10677_,_10677_,b
_10605_,_10605_,d
_10613_,_10613_,c
_10675_,_10675_,c
_10665_,_10665_,c
_10668_,_10668_,c
_10669_,_10669_,c
_10671_,_10671_,c
_10619_,_10621_,c
_10747_,_10747_,b
_10661_,_10661_,c
_10664_,_10664_,c
_10673_,_10673_,c
_10666_,_10666_,c
_10670_,_10670_,c
_10674_,_10674_,c
_10628_,_10628_,c
_10662_,_10662_,c
_10663_,_10663_,c
_10667_,_10667_,c
_10606_,_10606_,b
_10606_,_10784_,b
_10606_,_10799_,b
_10604_,_10604_,b
_10630_,_10630_,c
_10627_,_10627_,c
_10629_,_10629_,c
_10624_,_10624_,c
_10706_,_10706_,d
_10706_,_10642_,c
_10672_,_10672_,c
_10676_,_10676_,c
_10607_,_10607_,b
_10698_,_10698_,d
_10682_,_10682_,b
_10779_,_10597_,b
_10779_,_10596_,b
_10779_,_10598_,b
_10779_,_10599_,b
_10779_,_10600_,b
_10779_,_10681_,b
_10779_,_10594_,b
_10779_,_10744_,b
_10779_,_10785_,b
_10779_,_10616_,b
_10779_,_10707_,b
_10779_,_10705_,b
_10779_,_10678_,b
_10779_,_10701_,b
_10779_,_10703_,b
_10779_,_10702_,b
_10779_,_10743_,b
_10779_,_10793_,b
_10779_,_10742_,b
_10779_,_10741_,b
_10779_,_10684_,b
_10779_,_10595_,b
_10779_,_10797_,b
_10779_,_10611_,b
_10779_,_10610_,b
_10779_,_10704_,b
_10779_,_10708_,b
_10779_,_10789_,b
_10779_,_10786_,b
_10779_,_10787_,b
_10779_,_10788_,b
_10779_,_10693_,b
_10597_,_10774_,b
_10597_,_10775_,b
_10597_,_10776_,b
_10597_,_10777_,b
_10597_,_10778_,b
_10597_,_10779_,b
_10597_,_10780_,b
_10597_,_10781_,b
_10596_,_10596_,b
_10598_,_10598_,b
_10599_,_10599_,b
_10599_,_10601_,c
_10600_,_10594_,d
_10600_,_10600_,d
_10725_,_10725_,b
_10745_,_10745_,b
_10681_,_10681_,d
_10594_,_10595_,c
_10594_,_10593_,c
_10744_,_10744_,b
_10758_,_10758_,b
_10850_,_10850_,c
_10759_,_10759_,d
_10680_,_10680_,b
_10616_,_10617_,c
_10616_,_10616_,c
_10707_,_10643_,c
_10705_,_10641_,c
_10705_,_10705_,b
_10678_,_10678_,b
_10634_,_10634_,c
_10701_,_10637_,c
_10703_,_10639_,c
_10703_,_10626_,c
_10702_,_10702_,b
_10702_,_10638_,c
_10702_,_10625_,c
_10743_,_10743_,b
_10796_,_10796_,c
_10742_,_10742_,b
_10741_,_10741_,b
_10684_,_10684_,b
_10797_,_10797_,c
_10611_,_10590_,b
_10611_,_10636_,d
_10726_,_10726_,b
_10794_,_10696_,b
_10795_,_10795_,c
_10790_,_10790_,c
_10610_,_10610_,c
_10610_,_10774_,c
_10610_,_10775_,c
_10610_,_10776_,c
_10610_,_10777_,c
_10610_,_10778_,c
_10610_,_10779_,c
_10704_,_10704_,d
_10704_,_10640_,c
_10708_,_10708_,d
_10708_,_10644_,c
_10708_,_10631_,c
_10789_,_10789_,c
_10635_,_10635_,c
_10786_,_10786_,c
_10787_,_10787_,c
_10788_,_10788_,c
_10697_,_10697_,d
_10699_,_10699_,d
_10774_,_10817_,b
_10774_,_10632_,b
_10774_,_10633_,b
_10774_,_10592_,b
_10774_,_10591_,b
_10817_,_10817_,c
_10632_,_10632_,c
_10700_,_10700_,d
_10792_,_10792_,c
_10633_,_10633_,c
_10778_,_10694_,b
_10694_,_10694_,d
_10781_,_10816_,b
_10781_,_10784_,b
_10781_,_10782_,b
_10781_,_10894_,d
_10781_,_10783_,b
_10781_,_10781_,c
_10892_,_10615_,d
_10893_,_10893_,c
_10895_,_10895_,c
_10895_,_10892_,c
_10780_,_10757_,b
_10780_,_10780_,c
_10757_,_10757_,b
_10757_,_10816_,c
_10696_,_10696_,d
_10695_,_10695_,d
_10782_,_10782_,c
_10693_,_10693_,d
_10712_,_10712_,c
_10713_,_10713_,c
_10714_,_10714_,c
_10715_,_10715_,c
_10716_,_10716_,c
_10717_,_10717_,c
_10718_,_10718_,c
_10720_,_10720_,c
_10722_,_10722_,c
_10723_,_10723_,c
_10719_,_10719_,c
_10721_,_10721_,c
_10724_,_10724_,c
_10894_,_10894_,c
_10894_,_10794_,b
_10783_,_10783_,c
_10685_,_10701_,c
_10685_,_10685_,c
_10686_,_10686_,c
_10687_,_10703_,c
_10687_,_10687_,c
_10688_,_10688_,c
_10689_,_10689_,c
_10690_,_10690_,c
_10691_,_10691_,c
_10691_,_10707_,c
_10692_,_10692_,c
_10709_,_10709_,c
_10710_,_10710_,c
_10711_,_10711_,c
_10791_,_10791_,c
_10615_,_10785_,c
_10592_,_10592_,c
_10591_,_10591_,c
_10589_,_10589_,c
_10588_,_10588_,c
_10798_,_10798_,c
_10587_,_10587_,c
_10621_,_10621_,c
_10621_,_10608_,c
_10621_,_10618_,c
_10621_,_10619_,c
_10623_,_10623_,c
_10617_,_10617_,c
_10620_,_10620_,c
_10620_,_10611_,d
_10620_,_10597_,d
_10620_,_10602_,d
_10622_,_10622_,c
