节点信息:
node_name,type,original_edge
_601___617__uh,inserted_hold,_601_->_617_
_584___586__us,inserted_setup_dominant,_584_->_586_
_584___586__uh,inserted_hold_dependent,_584_->_586_

边信息:
source,target,path_detail,original_edge
_594_,_594___618__us,setup_path,_594_->_618_
_594_,_594___618__uh,hold_path,_594_->_618_
_594_,_594___617__us,setup_path,_594_->_617_
_594_,_594___617__uh,hold_path,_594_->_617_
_594_,_594___614__us,setup_path,_594_->_614_
_594_,_594___614__uh,hold_path,_594_->_614_
_594_,_594___613__us,setup_path,_594_->_613_
_594_,_594___613__uh,hold_path,_594_->_613_
_594_,_594___616__us,setup_path,_594_->_616_
_594_,_594___616__uh,hold_path,_594_->_616_
_594_,_594___615__us,setup_path,_594_->_615_
_594_,_594___615__uh,hold_path,_594_->_615_
_594_,_594___610__us,setup_path,_594_->_610_
_594_,_594___610__uh,hold_path,_594_->_610_
_618_,_618___602__us,setup_path,_618_->_602_
_618_,_618___602__uh,hold_path,_618_->_602_
_617_,_617___601__us,setup_path,_617_->_601_
_617_,_617___601__uh,hold_path,_617_->_601_
_614_,_614___598__us,setup_path,_614_->_598_
_614_,_614___598__uh,hold_path,_614_->_598_
_613_,_613___597__us,setup_path,_613_->_597_
_613_,_613___597__uh,hold_path,_613_->_597_
_616_,_616___600__us,setup_path,_616_->_600_
_616_,_616___600__uh,hold_path,_616_->_600_
_615_,_615___599__us,setup_path,_615_->_599_
_615_,_615___599__uh,hold_path,_615_->_599_
_602_,_602___589__us,setup_path,_602_->_589_
_602_,_602___589__uh,hold_path,_602_->_589_
_602_,_602___591__us,setup_path,_602_->_591_
_602_,_602___591__uh,hold_path,_602_->_591_
_602_,_602___593__us,setup_path,_602_->_593_
_602_,_602___593__uh,hold_path,_602_->_593_
_602_,_602___595__us,setup_path,_602_->_595_
_602_,_602___595__uh,hold_path,_602_->_595_
_602_,_602___587__us,setup_path,_602_->_587_
_602_,_602___587__uh,hold_path,_602_->_587_
_602_,_602___588__us,setup_path,_602_->_588_
_602_,_602___588__uh,hold_path,_602_->_588_
_602_,_602___590__us,setup_path,_602_->_590_
_602_,_602___590__uh,hold_path,_602_->_590_
_602_,_602___592__us,setup_path,_602_->_592_
_602_,_602___592__uh,hold_path,_602_->_592_
_602_,_602___594__us,setup_path,_602_->_594_
_602_,_602___594__uh,hold_path,_602_->_594_
_602_,_602___596__us,setup_path,_602_->_596_
_602_,_602___596__uh,hold_path,_602_->_596_
_602_,_602___610__us,setup_path,_602_->_610_
_602_,_602___610__uh,hold_path,_602_->_610_
_602_,_602___586__us,setup_path,_602_->_586_
_602_,_602___586__uh,hold_path,_602_->_586_
_602_,_602___585__us,setup_path,_602_->_585_
_602_,_602___585__uh,hold_path,_602_->_585_
_602_,_602___608__us,setup_path,_602_->_608_
_602_,_602___608__uh,hold_path,_602_->_608_
_602_,_602___609__us,setup_path,_602_->_609_
_602_,_602___609__uh,hold_path,_602_->_609_
_602_,_602___603__us,setup_path,_602_->_603_
_602_,_602___603__uh,hold_path,_602_->_603_
_602_,_602___605__us,setup_path,_602_->_605_
_602_,_602___605__uh,hold_path,_602_->_605_
_602_,_602___606__us,setup_path,_602_->_606_
_602_,_602___606__uh,hold_path,_602_->_606_
_602_,_602___607__us,setup_path,_602_->_607_
_602_,_602___607__uh,hold_path,_602_->_607_
_602_,_602___604__us,setup_path,_602_->_604_
_602_,_602___604__uh,hold_path,_602_->_604_
_602_,_602___597__us,setup_path,_602_->_597_
_602_,_602___597__uh,hold_path,_602_->_597_
_602_,_602___598__us,setup_path,_602_->_598_
_602_,_602___598__uh,hold_path,_602_->_598_
_602_,_602___599__us,setup_path,_602_->_599_
_602_,_602___599__uh,hold_path,_602_->_599_
_602_,_602___600__us,setup_path,_602_->_600_
_602_,_602___600__uh,hold_path,_602_->_600_
_602_,_602___601__us,setup_path,_602_->_601_
_602_,_602___601__uh,hold_path,_602_->_601_
_602_,_602___602__us,setup_path,_602_->_602_
_602_,_602___602__uh,hold_path,_602_->_602_
_602_,_602___618__us,setup_path,_602_->_618_
_602_,_602___618__uh,hold_path,_602_->_618_
_589_,_589___605__us,setup_path,_589_->_605_
_589_,_589___605__uh,hold_path,_589_->_605_
_591_,_591___607__us,setup_path,_591_->_607_
_591_,_591___607__uh,hold_path,_591_->_607_
_593_,_593___609__us,setup_path,_593_->_609_
_593_,_593___609__uh,hold_path,_593_->_609_
_595_,_595___611__us,setup_path,_595_->_611_
_595_,_595___611__uh,hold_path,_595_->_611_
_590_,_590___612__us,setup_path,_590_->_612_
_590_,_590___612__uh,hold_path,_590_->_612_
_590_,_590___611__us,setup_path,_590_->_611_
_590_,_590___611__uh,hold_path,_590_->_611_
_590_,_590___606__us,setup_path,_590_->_606_
_590_,_590___606__uh,hold_path,_590_->_606_
_592_,_592___608__us,setup_path,_592_->_608_
_592_,_592___608__uh,hold_path,_592_->_608_
_596_,_596___612__us,setup_path,_596_->_612_
_596_,_596___612__uh,hold_path,_596_->_612_
_612_,_612___596__us,setup_path,_612_->_596_
_612_,_612___596__uh,hold_path,_612_->_596_
_611_,_611___595__us,setup_path,_611_->_595_
_611_,_611___595__uh,hold_path,_611_->_595_
_610_,_610___594__us,setup_path,_610_->_594_
_610_,_610___594__uh,hold_path,_610_->_594_
_586_,_586___584__us,common_path,_586_->_584_
_585_,_585___585__us,common_path,_585_->_585_
_585_,_585___584__us,common_path,_585_->_584_
_608_,_608___592__us,setup_path,_608_->_592_
_608_,_608___592__uh,hold_path,_608_->_592_
_609_,_609___593__us,setup_path,_609_->_593_
_609_,_609___593__uh,hold_path,_609_->_593_
_603_,_603___603__us,setup_path,_603_->_603_
_603_,_603___603__uh,hold_path,_603_->_603_
_603_,_603___587__us,setup_path,_603_->_587_
_603_,_603___587__uh,hold_path,_603_->_587_
_605_,_605___589__us,setup_path,_605_->_589_
_605_,_605___589__uh,hold_path,_605_->_589_
_606_,_606___590__us,setup_path,_606_->_590_
_606_,_606___590__uh,hold_path,_606_->_590_
_607_,_607___591__us,setup_path,_607_->_591_
_607_,_607___591__uh,hold_path,_607_->_591_
_604_,_604___588__us,setup_path,_604_->_588_
_604_,_604___588__uh,hold_path,_604_->_588_
_604_,_604___604__us,setup_path,_604_->_604_
_604_,_604___604__uh,hold_path,_604_->_604_
_597_,_597___613__us,setup_path,_597_->_613_
_597_,_597___613__uh,hold_path,_597_->_613_
_598_,_598___614__us,setup_path,_598_->_614_
_598_,_598___614__uh,hold_path,_598_->_614_
_599_,_599___615__us,setup_path,_599_->_615_
_599_,_599___615__uh,hold_path,_599_->_615_
_600_,_600___616__us,setup_path,_600_->_616_
_600_,_600___616__uh,hold_path,_600_->_616_
_601_,_601___617__us,setup_path,_601_->_617_
_601_,_601___617__uh,hold_path,_601_->_617_
_584_,_584___586__us,setup_path,_584_->_586_
_584_,_584___586__uh,hold_path,_584_->_586_
_594___618__us,_618_,setup_constraint,_594_->_618_
_594___618__uh,_618_,hold_constraint,_594_->_618_
_594___617__us,_617_,setup_constraint,_594_->_617_
_594___617__uh,_617_,hold_constraint,_594_->_617_
_594___614__us,_614_,setup_constraint,_594_->_614_
_594___614__uh,_614_,hold_constraint,_594_->_614_
_594___613__us,_613_,setup_constraint,_594_->_613_
_594___613__uh,_613_,hold_constraint,_594_->_613_
_594___616__us,_616_,setup_constraint,_594_->_616_
_594___616__uh,_616_,hold_constraint,_594_->_616_
_594___615__us,_615_,setup_constraint,_594_->_615_
_594___615__uh,_615_,hold_constraint,_594_->_615_
_594___610__us,_610_,setup_constraint,_594_->_610_
_594___610__uh,_610_,hold_constraint,_594_->_610_
_618___602__us,_602_,setup_constraint,_618_->_602_
_618___602__uh,_618___602__us,hold_to_setup,_618_->_602_
_617___601__us,_601_,setup_constraint,_617_->_601_
_617___601__uh,_617___601__us,hold_to_setup,_617_->_601_
_614___598__us,_598_,setup_constraint,_614_->_598_
_614___598__uh,_614___598__us,hold_to_setup,_614_->_598_
_613___597__us,_597_,setup_constraint,_613_->_597_
_613___597__uh,_613___597__us,hold_to_setup,_613_->_597_
_616___600__us,_600_,setup_constraint,_616_->_600_
_616___600__uh,_616___600__us,hold_to_setup,_616_->_600_
_615___599__us,_599_,setup_constraint,_615_->_599_
_615___599__uh,_615___599__us,hold_to_setup,_615_->_599_
_602___589__us,_589_,setup_constraint,_602_->_589_
_602___589__uh,_589_,hold_constraint,_602_->_589_
_602___591__us,_591_,setup_constraint,_602_->_591_
_602___591__uh,_591_,hold_constraint,_602_->_591_
_602___593__us,_593_,setup_constraint,_602_->_593_
_602___593__uh,_593_,hold_constraint,_602_->_593_
_602___595__us,_595_,setup_constraint,_602_->_595_
_602___595__uh,_595_,hold_constraint,_602_->_595_
_602___587__us,_587_,setup_constraint,_602_->_587_
_602___587__uh,_587_,hold_constraint,_602_->_587_
_602___588__us,_588_,setup_constraint,_602_->_588_
_602___588__uh,_588_,hold_constraint,_602_->_588_
_602___590__us,_590_,setup_constraint,_602_->_590_
_602___590__uh,_590_,hold_constraint,_602_->_590_
_602___592__us,_592_,setup_constraint,_602_->_592_
_602___592__uh,_592_,hold_constraint,_602_->_592_
_602___594__us,_594_,setup_constraint,_602_->_594_
_602___594__uh,_594_,hold_constraint,_602_->_594_
_602___596__us,_596_,setup_constraint,_602_->_596_
_602___596__uh,_596_,hold_constraint,_602_->_596_
_602___610__us,_610_,setup_constraint,_602_->_610_
_602___610__uh,_610_,hold_constraint,_602_->_610_
_602___586__us,_586_,setup_constraint,_602_->_586_
_602___586__uh,_586_,hold_constraint,_602_->_586_
_602___585__us,_585_,setup_constraint,_602_->_585_
_602___585__uh,_585_,hold_constraint,_602_->_585_
_602___608__us,_608_,setup_constraint,_602_->_608_
_602___608__uh,_608_,hold_constraint,_602_->_608_
_602___609__us,_609_,setup_constraint,_602_->_609_
_602___609__uh,_609_,hold_constraint,_602_->_609_
_602___603__us,_603_,setup_constraint,_602_->_603_
_602___603__uh,_603_,hold_constraint,_602_->_603_
_602___605__us,_605_,setup_constraint,_602_->_605_
_602___605__uh,_605_,hold_constraint,_602_->_605_
_602___606__us,_606_,setup_constraint,_602_->_606_
_602___606__uh,_606_,hold_constraint,_602_->_606_
_602___607__us,_607_,setup_constraint,_602_->_607_
_602___607__uh,_607_,hold_constraint,_602_->_607_
_602___604__us,_604_,setup_constraint,_602_->_604_
_602___604__uh,_604_,hold_constraint,_602_->_604_
_602___597__us,_597_,setup_constraint,_602_->_597_
_602___597__uh,_597_,hold_constraint,_602_->_597_
_602___598__us,_598_,setup_constraint,_602_->_598_
_602___598__uh,_598_,hold_constraint,_602_->_598_
_602___599__us,_599_,setup_constraint,_602_->_599_
_602___599__uh,_599_,hold_constraint,_602_->_599_
_602___600__us,_600_,setup_constraint,_602_->_600_
_602___600__uh,_600_,hold_constraint,_602_->_600_
_602___601__us,_601_,setup_constraint,_602_->_601_
_602___601__uh,_601_,hold_constraint,_602_->_601_
_602___602__us,_602_,setup_constraint,_602_->_602_
_602___602__uh,_602_,hold_constraint,_602_->_602_
_602___618__us,_618_,setup_constraint,_602_->_618_
_602___618__uh,_618_,hold_constraint,_602_->_618_
_589___605__us,_605_,setup_constraint,_589_->_605_
_589___605__uh,_605_,hold_constraint,_589_->_605_
_591___607__us,_607_,setup_constraint,_591_->_607_
_591___607__uh,_607_,hold_constraint,_591_->_607_
_593___609__us,_609_,setup_constraint,_593_->_609_
_593___609__uh,_609_,hold_constraint,_593_->_609_
_595___611__us,_611_,setup_constraint,_595_->_611_
_595___611__uh,_611_,hold_constraint,_595_->_611_
_590___612__us,_612_,setup_constraint,_590_->_612_
_590___612__uh,_612_,hold_constraint,_590_->_612_
_590___611__us,_611_,setup_constraint,_590_->_611_
_590___611__uh,_611_,hold_constraint,_590_->_611_
_590___606__us,_606_,setup_constraint,_590_->_606_
_590___606__uh,_606_,hold_constraint,_590_->_606_
_592___608__us,_608_,setup_constraint,_592_->_608_
_592___608__uh,_608_,hold_constraint,_592_->_608_
_596___612__us,_612_,setup_constraint,_596_->_612_
_596___612__uh,_612_,hold_constraint,_596_->_612_
_612___596__us,_596_,setup_constraint,_612_->_596_
_612___596__uh,_612___596__us,hold_to_setup,_612_->_596_
_611___595__us,_595_,setup_constraint,_611_->_595_
_611___595__uh,_611___595__us,hold_to_setup,_611_->_595_
_610___594__us,_594_,setup_constraint,_610_->_594_
_610___594__uh,_610___594__us,hold_to_setup,_610_->_594_
_586___584__us,_584_,common_constraint,_586_->_584_
_585___585__us,_585_,common_constraint,_585_->_585_
_585___584__us,_584_,common_constraint,_585_->_584_
_608___592__us,_592_,setup_constraint,_608_->_592_
_608___592__uh,_608___592__us,hold_to_setup,_608_->_592_
_609___593__us,_593_,setup_constraint,_609_->_593_
_609___593__uh,_609___593__us,hold_to_setup,_609_->_593_
_603___603__us,_603_,setup_constraint,_603_->_603_
_603___603__uh,_603___603__us,hold_to_setup,_603_->_603_
_603___587__us,_587_,setup_constraint,_603_->_587_
_603___587__uh,_587_,hold_constraint,_603_->_587_
_605___589__us,_589_,setup_constraint,_605_->_589_
_605___589__uh,_605___589__us,hold_to_setup,_605_->_589_
_606___590__us,_590_,setup_constraint,_606_->_590_
_606___590__uh,_606___590__us,hold_to_setup,_606_->_590_
_607___591__us,_591_,setup_constraint,_607_->_591_
_607___591__uh,_607___591__us,hold_to_setup,_607_->_591_
_604___588__us,_588_,setup_constraint,_604_->_588_
_604___588__uh,_604___588__us,hold_to_setup,_604_->_588_
_604___604__us,_604_,setup_constraint,_604_->_604_
_604___604__uh,_604_,hold_constraint,_604_->_604_
_597___613__us,_613_,setup_constraint,_597_->_613_
_597___613__uh,_613_,hold_constraint,_597_->_613_
_598___614__us,_614_,setup_constraint,_598_->_614_
_598___614__uh,_614_,hold_constraint,_598_->_614_
_599___615__us,_615_,setup_constraint,_599_->_615_
_599___615__uh,_615_,hold_constraint,_599_->_615_
_600___616__us,_616_,setup_constraint,_600_->_616_
_600___616__uh,_616_,hold_constraint,_600_->_616_
_601___617__us,_617_,setup_constraint,_601_->_617_
_601___617__uh,_617_,hold_constraint,_601_->_617_
_584___586__us,_586_,setup_constraint,_584_->_586_
_584___586__uh,_584___586__us,hold_to_setup,_584_->_586_
